period,subba,subba-name,parent,parent-name,timezone,value,value-units
2024-11-24,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Arizona,97990,megawatthours
2024-11-24,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Central,98042,megawatthours
2024-11-24,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Eastern,98109,megawatthours
2024-11-24,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Mountain,97990,megawatthours
2024-11-24,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Pacific,97984,megawatthours
2024-11-23,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Arizona,101015,megawatthours
2024-11-23,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Central,101242,megawatthours
2024-11-23,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Eastern,101496,megawatthours
2024-11-23,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Mountain,101015,megawatthours
2024-11-23,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Pacific,100798,megawatthours
2024-11-22,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Arizona,114541,megawatthours
2024-11-22,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Central,114453,megawatthours
2024-11-22,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Eastern,114331,megawatthours
2024-11-22,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Mountain,114541,megawatthours
2024-11-22,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Pacific,114590,megawatthours
2024-11-21,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Arizona,108718,megawatthours
2024-11-21,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Central,108390,megawatthours
2024-11-21,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Eastern,108075,megawatthours
2024-11-21,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Mountain,108718,megawatthours
2024-11-21,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Pacific,109057,megawatthours
2024-11-20,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Arizona,104127,megawatthours
2024-11-20,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Central,104127,megawatthours
2024-11-20,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Eastern,104111,megawatthours
2024-11-20,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Mountain,104127,megawatthours
2024-11-20,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Pacific,104134,megawatthours
2024-11-19,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Arizona,101825,megawatthours
2024-11-19,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Central,101830,megawatthours
2024-11-19,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Eastern,101834,megawatthours
2024-11-19,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Mountain,101825,megawatthours
2024-11-19,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Pacific,101809,megawatthours
2024-11-18,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Arizona,100929,megawatthours
2024-11-18,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Central,100855,megawatthours
2024-11-18,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Eastern,100784,megawatthours
2024-11-18,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Mountain,100929,megawatthours
2024-11-18,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Pacific,100987,megawatthours
2024-11-17,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Arizona,92419,megawatthours
2024-11-17,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Central,92491,megawatthours
2024-11-17,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Eastern,92560,megawatthours
2024-11-17,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Mountain,92419,megawatthours
2024-11-17,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Pacific,92368,megawatthours
2024-11-16,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Arizona,93144,megawatthours
2024-11-16,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Central,93292,megawatthours
2024-11-16,PS,Public Service Electric & Gas of New Jersey zone - PJM,PJM,"PJM Interconnection, LLC",Eastern,93456,megawatthours
2024-11-16,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Mountain,93144,megawatthours
2024-11-16,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Pacific,93011,megawatthours
2024-11-15,PS,Public Service Electric & Gas of New Jersey zone - PJM,PJM,"PJM Interconnection, LLC",Arizona,103984,megawatthours
2024-11-15,PS,Public Service Electric & Gas of New Jersey zone - PJM,PJM,"PJM Interconnection, LLC",Central,104119,megawatthours
2024-11-15,PS,Public Service Electric & Gas of New Jersey zone - PJM,PJM,"PJM Interconnection, LLC",Eastern,104250,megawatthours
2024-11-15,PS,Public Service Electric & Gas of New Jersey zone - PJM,PJM,"PJM Interconnection, LLC",Mountain,103984,megawatthours
2024-11-15,PS,Public Service Electric & Gas of New Jersey zone - PJM,PJM,"PJM Interconnection, LLC",Pacific,103852,megawatthours
2024-11-14,PS,Public Service Electric & Gas of New Jersey zone - PJM,PJM,"PJM Interconnection, LLC",Arizona,109870,megawatthours
